"","Needles","Branches","StemV","StemB","Fine.root","Root.above.5cm","Root.below.5cm","Stump"
"69",3100.193535972,4989.78621844638,15041.4353296606,1540.88972313684,1023.06386687076,3919.94320456126,1661.41836237003,1828.82855366731
"70",3230.28615937576,5237.73954112773,16010.7607295189,1626.51493349718,1065.994432594,4167.16507233109,1729.41820758682,1940.95316089509
"71",3359.43882811592,5485.89822657879,16994.9848016258,1712.81309313649,1108.61481327825,4416.44899914187,1796.86131625727,2054.71845951878
"72",3487.61229670624,5734.08982473749,17993.0464343652,1799.70882898079,1150.91205791306,4667.4912122775,1863.73118487475,2170.0165310741
"73",3614.77389065345,5982.15837645615,19003.9425481904,1887.1320846661,1192.87538391564,4920.01284029324,1930.01449758004,2286.74509712011
"74",3740.89668991976,6229.96285220403,20026.7251724432,1975.01773005344,1234.49590767352,5173.75792606281,1995.70071424285,2404.80723307127
"75",3865.95881810518,6477.37575136941,21060.4985974642,2063.30520102102,1275.76640997471,5428.49158864168,2060.78171325892,2524.11109236133
"76",3989.9428223945,6724.28184418632,22104.4166189662,2151.9381672489,1316.68113139019,5683.99832709373,2125.25148115293,2644.56964168653
"77",4112.83513163952,6970.57704045697,23157.6798860535,2240.86422583215,1357.23559344104,5940.08045831271,2189.10584233226,2766.10040774581
"78",4234.62558187529,7216.16737112101,24219.5333599825,2330.03461868928,1397.42644201885,6196.55668031755,2252.34222337436,2888.62523564403
"79",4355.30700017701,7460.9680703733,25289.2638874958,2419.40397186887,1437.25131005841,6453.260752339,2314.95944709042,3012.07005893656
"80",4474.87483910609,7704.90274747608,26366.1978900852,2508.93005499245,1476.70869690501,6710.04028311764,2376.9575523245,3136.36468115207
"81",4593.32685512104,7947.90263867855,27449.6991686873,2598.5735592037,1515.79786218994,6966.75561911004,2438.33763604589,3261.44256852855
"82",4710.6628252759,8189.90593076649,28539.1668219413,2688.29789212078,1554.51873234105,7223.27882468588,2499.10171479401,3387.24065362379
"83",4826.88429732857,8430.85714873835,29634.0332751462,2778.06898840801,1592.87181811843,7479.49274685041,2559.25260295747,3513.69914941125
"84",4941.99436905865,8670.70660095794,30733.7624163447,2867.85513469578,1630.85814178935,7735.29015750795,2618.79380572454,3640.76137343942
"85",5055.99749316835,8909.40987588436,31837.8478354902,2957.62680768258,1668.47917274556,7990.57296677548,2677.72942484406,3768.37358161365
"86",5168.8993046293,9146.92738513891,32945.8111623432,3047.35652434971,1705.73677052767,8245.25150134069,2736.06407559077,3896.4848111505
"87",5280.70646775505,9383.22394824901,34057.200498581,3137.01870330956,1742.63313435917,8499.24384233069,2793.80281354714,4025.04673225399
"88",5391.4265406362,9618.2684149201,35171.5889395319,3226.58953639062,1779.17075840995,8752.47521760579,2850.95106999877,4154.013508068
"89",5501.06785488067,9852.03332113699,36288.5731809589,3316.04686963847,1815.35239211062,9004.87744381569,2907.51459489913,4283.34166246881
"90",5609.63940886504,10084.4945757939,37407.7722063861,3405.37009298142,1851.18100492546,9256.38841395116,2963.49940649573,4412.98995527414
"91",5717.15077292905,10315.6311749038,38528.8260505677,3494.54003787317,1886.65975506659,9506.95162649073,3018.91174682593,4542.91926445999
"92",5823.61200514111,10545.4249407485,39651.394634842,3583.5388822832,1921.79196169657,9756.51575258099,3073.75804239157,4673.09247499297
"93",5929.0335764315,10773.8602836077,40775.1566702734,3672.35006245849,1956.5810802224,10005.0342380018,3128.04486940845,4803.47437390295
"94",6033.42630403699,11000.9239839463,41899.8086246568,3760.9581909289,1991.03068033221,10252.4649369528,3181.77892310107,4934.03155123857
"95",5829.96122771084,10665.2747435023,40873.8105621599,3656.88153125915,1923.88720514458,9973.83128621134,3073.21864104982,4811.4956912375
"96",5939.42605679295,10905.1652229266,42078.1759226157,3751.19493894808,1960.01059874167,10236.0511192478,3129.51582000335,4951.47053087421
"97",6039.49724177954,11125.3031457074,43190.9559031523,3838.07056448389,1993.03408978725,10477.0397285596,3180.95996357349,5080.88264481559
"98",6138.58253000784,11344.0473849131,44303.7910411309,3924.70336078216,2025.73223490259,10716.8273150337,3231.87699966756,5210.38066630419
"99",6236.69359738698,11561.3923198631,45416.4363900488,4011.08178084425,2058.1088871377,10955.3865223902,3282.2738558108,5339.93704077395
"100",6333.84223304006,11777.3338875914,46528.6607665526,4097.19514210319,2090.16793690322,11192.6930012997,3332.15747287848,5469.52563596953
"101",6430.04030556738,11991.8694501428,47640.2460036064,4183.03357129566,2121.91330083724,11428.7251791355,3381.53479021345,5599.1216692429
"102",6525.29973314012,12204.9976728029,48750.9862468366,4268.58795307126,2153.34891193624,11663.4640476252,3430.412732563,5728.7016388598
"103",6619.63245701318,12416.7184123007,49860.6872914276,4353.84988206189,2184.47871081435,11896.8929669222,3478.79819863335,5858.24325908047
"104",6713.05041809296,12627.0326141137,50969.1659570968,4438.81161815667,2215.30663797068,12128.9974847424,3526.69805108363,5987.72539879293
"105",6805.56553623565,12835.9422180884,52076.2494988312,4523.46604474799,2245.83662695776,12359.7651693353,3574.11910780083,6117.12802349047
"106",6897.1896919876,13043.4500716612,53181.775051208,4607.80662973296,2276.07259835591,12589.1854551625,3621.06813431565,6246.43214039733
"107",6987.93471051063,13249.5598500348,54285.5891042571,4691.82738907183,2306.01845446851,12817.2495002564,3667.5518372343,6375.61974655846
"108",7077.81234746329,13454.2759827206,55387.5470089522,4775.52285272029,2335.67807466289,13043.9500543204,3713.57685857548,6504.67377972066
"109",7166.83427663331,13657.6035859135,56487.5125105346,4858.88803276701,2365.05531128899,13269.2813367125,3759.14977091375,6633.57807184255
"110",7255.01207913851,13859.5484002152,57585.3573079884,4941.91839362083,2394.15398611571,13493.2389235268,3804.27707324143,6762.31730508092
"111",7342.35723403297,14060.1167332622,58680.9606380922,5024.60982410392,2422.97788723088,13715.8196430564,3848.96518747067,6890.87697011046
"112",7428.88111017204,14259.3154068571,59774.2088825696,5106.95861131846,2451.53076635677,13937.0214789785,3893.22045550577,7019.24332664231
"113",7514.5949592053,14457.1517082363,60864.9951969576,5188.96141616408,2479.81633653775,14156.8434806608,3937.04913682324,7147.40336601542
"114",7599.50990958026,14653.6333451392,61953.2191598951,5270.61525039295,2507.83827016149,14375.2856800377,3980.45740650398,7275.34477574206
"115",7683.63696145153,14848.7684043735,63038.7864416209,5351.91745509763,2535.600197279,14592.3490145489,4023.45135366773,7403.05590589655
"116",7766.98698240085,15042.565313597,64121.6084905402,5432.86568053474,2563.10570419228,14808.0352556769,4066.03698026504,7530.52573724237
"117",7849.57070388356,15235.0328060614,65201.6022367993,5513.45786719459,2590.35833228158,15022.3469426582,4108.22020018717,7657.74385099995
"118",7931.398718325,15426.179888083,66278.6898118657,5593.69222803354,2617.36157704725,15235.2873209752,4150.00683865794,7784.70040016264
"119",8012.48147679855,15616.0158090289,67352.7982831804,5673.56723179201,2644.11888734352,15446.8602852692,4191.40263187569,7911.38608227452
"120",8092.82928722378,15804.5500336198,68423.8594030053,5753.08158732651,2670.63366478385,15657.0703263454,4232.41322687674,8037.79211358865
