Station	StnKod	X_RAK	Y_RAK	èr	Yta	BestÜnd	ArtNr: 42	66	68	70	146	207	212	255	325	330	348	355	366	397	411	431
Aneboda	ANEB	633265	142405	2006	L 6	Medelhîg gran med lîv									*							
Aneboda	ANEB	633265	142405	2006	L 8	Hîg gran med lîv	TrÑngsel	*							*							
Aneboda	ANEB	633265	142405	2006	L 9	Hîg gran med lîv		*							*							Hîgstubbe
Aneboda	ANEB	633265	142405	2006	L10	Hîg gran med tall och lîv	LÜgstubbe		Annan okÑnd skada						*	Hîgstubbe						
Aneboda	ANEB	633265	142405	2011	B 6	Hîg gran med tall och lîv									*	*						
Aneboda	ANEB	633265	142405	2011	C 7	Hîg gran med tall och lîv		VindfÑllning							*							
Aneboda	ANEB	633265	142405	2011	D 9	Hîg gran med lîv	Annan okÑnd skada								*							
Aneboda	ANEB	633265	142405	2011	E 5	Hîg gran med tall									*							
Aneboda	ANEB	633265	142405	2011	E 6	Hîg gran med tall									*	*						
Aneboda	ANEB	633265	142405	2011	I 3	Hîg gran med lîv		*	*						*							
Aneboda	ANEB	633265	142405	2011	I 4	Hîg gran med lîv									*							
Aneboda	ANEB	633265	142405	2011	I 5	Hîg gran med lîv									*							
Aneboda	ANEB	633265	142405	2011	I 7	Hîg gran med lîv						Brott			*							
Aneboda	ANEB	633265	142405	2011	I 9	Hîg gran med lîv									*							
Aneboda	ANEB	633265	142405	2011	I10	Medelhîg gran med lîv						Annan okÑnd skada		Annan okÑnd skada	*							
Aneboda	ANEB	633265	142405	2011	J 2	Medelhîg gran med lîv									VindfÑllning							
Aneboda	ANEB	633265	142405	2011	J 5	Hîg gran med lîv			Brott						*							
Aneboda	ANEB	633265	142405	2011	J 7	Medelhîg gran med lîv									*							
Aneboda	ANEB	633265	142405	2011	J10	Hîg gran med lîv		*	*						*		Hîgstubbe					
Aneboda	ANEB	633265	142405	2011	K 4	Medelhîg gran med lîv		Annan okÑnd skada	*						*							
Aneboda	ANEB	633265	142405	2011	K10	Hîg gran med lîv	*	*	*						*	Hîgstubbe						
Aneboda	ANEB	633265	142405	2011	L 6	Medelhîg gran med lîv									*	Annan okÑnd skada						
Aneboda	ANEB	633265	142405	2016	B 6	Hîg gran med tall och lîv									*	Brott						
Aneboda	ANEB	633265	142405	2016	C 7	Hîg gran med tall och lîv		VindfÑllning							*	Annan okÑnd skada						
Aneboda	ANEB	633265	142405	2016	E 5	Hîg gran med tall									*							
Aneboda	ANEB	633265	142405	2016	E 6	Hîg gran med tall									*	*						
Aneboda	ANEB	633265	142405	2016	I 3	Hîg gran med lîv		*	*						*							
Aneboda	ANEB	633265	142405	2016	I 4	Hîg gran med lîv									*							
Aneboda	ANEB	633265	142405	2016	I 5	Hîg gran med lîv									*							
Aneboda	ANEB	633265	142405	2016	I 9	Hîg gran med lîv									*							
Aneboda	ANEB	633265	142405	2016	I10	Medelhîg gran med lîv								Annan okÑnd skada	*	Annan okÑnd skada						Annan okÑnd skada
Aneboda	ANEB	633265	142405	2016	J 2	Medelhîg gran med lîv		Annan okÑnd skada							VindfÑllning							
Aneboda	ANEB	633265	142405	2016	J 5	Hîg gran med lîv			Brott						*							
Aneboda	ANEB	633265	142405	2016	J 7	Medelhîg gran med lîv			Annan okÑnd skada						*							
Aneboda	ANEB	633265	142405	2016	J10	Hîg gran med lîv	Annan okÑnd skada	*	*						*		Hîgstubbe					
Aneboda	ANEB	633265	142405	2016	K 4	Medelhîg gran med lîv		Annan okÑnd skada	*						*							
Aneboda	ANEB	633265	142405	2016	K10	Hîg gran med lîv	Annan okÑnd skada	*	Annan okÑnd skada						*	Hîgstubbe						
Aneboda	ANEB	633265	142405	2016	L 6	Medelhîg gran med lîv									*	Annan okÑnd skada						
