"","beta","eta_11","q0","e0","fc","delay","tmax_error","u0_error","zeta","lp__"
"70",3.20245128378702,0.468113315969918,0.208875912950947,0.39996720394205,0.485209742908797,0.625100816372423,0.281911344269817,6.58625105890722,1.00073036829743,-1827.36082978643
"71",3.20760563339293,0.468147628684835,0.208871223725303,0.399541095894033,0.485260288600545,0.625051259151099,0.281910930567608,6.58696026804348,1.00082475142187,-1823.76780606331
"72",3.21353591385013,0.468163795341723,0.208853265790022,0.399210851724981,0.48528687315671,0.625090831254552,0.281902285347962,6.58678805839737,1.00031955401403,-1819.67443720613
"73",3.21822364936398,0.468184555387359,0.208871839266794,0.398551508338823,0.485328173368863,0.625136447310467,0.281935683038983,6.58731318698914,1.00156854808786,-1816.31823952285
"74",3.22167781929535,0.46826454621243,0.208846919834487,0.398418295660996,0.485396587191233,0.625151747343231,0.281889327219977,6.58721427561081,1.00087988721746,-1813.98056022519
"75",3.22766327450395,0.468275512753171,0.208853200696868,0.397984216570475,0.485548053823258,0.625095426260202,0.28185657644663,6.58598483932012,1.00081166769213,-1809.81134670218
"76",3.23914710016253,0.468331336243841,0.208854260905843,0.397067773747441,0.485486213312255,0.625216121371507,0.281835375640229,6.58577468983586,1.00096747867558,-1801.80633685338
"77",3.24315452691923,0.468258690107588,0.208867707573518,0.396839447444856,0.485463832130069,0.625306263429285,0.281865566675432,6.58617508874359,1.00083988928849,-1799.02528638288
"78",3.25105711935611,0.468269591659197,0.208843981696535,0.396341173616305,0.485597866298603,0.625285648651576,0.281957412290934,6.58740466329829,1.00046478688876,-1793.62291357526
"79",3.26422774979735,0.468296087093448,0.208816257142757,0.395370808171706,0.485459793056138,0.625492105178879,0.281971443176546,6.58736574761665,1.00042268138068,-1784.52467638931
"80",3.27057234671667,0.468276134540014,0.208755144366724,0.394837122662922,0.485523081182227,0.625486912246903,0.281969323612836,6.58702702682689,1.00075672135831,-1780.18766939673
"81",3.27357201667512,0.468264652206864,0.208776325164495,0.394595913176226,0.485471097272475,0.625455376746432,0.282009531739932,6.58514623435471,1.00087419057758,-1778.06004075655
"82",3.27727695617002,0.468319848517029,0.20880497617643,0.394423307517958,0.485383206047448,0.625411502855351,0.282002638449767,6.58560362731789,1.00034745615016,-1775.50457034155
"83",3.27849075375649,0.468392431144526,0.208825737534524,0.39428560316422,0.48542793421774,0.625421405531355,0.282005584026466,6.58601867321835,1.00039876017876,-1774.65403306542
"84",3.27902753888311,0.468335907734209,0.208780491560858,0.394098803462386,0.485467777065058,0.625489258286888,0.282012434902756,6.58612178532983,1.00113852288301,-1774.29236651829
"85",3.28348874902484,0.468365094604608,0.208788771269876,0.39392927092284,0.485428859699135,0.6255424569917,0.282056620711761,6.58523180597278,1.00042607729059,-1771.23695605908
"86",3.2848285341466,0.468282850116663,0.20874809693988,0.393805233512655,0.485425557509144,0.625541976851433,0.282074472734224,6.58581032912361,1.00071346084884,-1770.34734471341
"87",3.28676216074594,0.468353071145623,0.20872127483186,0.39369701581561,0.485317128002194,0.625673909291169,0.281973761337866,6.58386744680471,1.00042821606402,-1769.02006110348
"88",3.28930023956067,0.46830761651462,0.208714458621059,0.393543337757535,0.485292471183681,0.625608078417834,0.282048809214989,6.58382550123835,1.00039720306947,-1767.28042380338
"89",3.28702882410312,0.468359108117925,0.208716941819032,0.393508464421074,0.485374957715899,0.625629061660596,0.282034481094647,6.5833488578377,1.0011247144057,-1768.79858331129
"90",3.3016960371716,0.468405582591454,0.208698959980086,0.392604242506623,0.485267397216515,0.625556170505671,0.282075271883813,6.58266514715249,1.00036298758567,-1758.76751792236
"91",3.30337639026144,0.468416720001686,0.208717869078994,0.392394728332144,0.485339897307096,0.625497636578118,0.28208784105891,6.58252429218334,1.00070926305822,-1757.58448491951
"92",3.30858504023397,0.468407188293667,0.208698202631657,0.391731237161413,0.485095439321417,0.625410257221378,0.28206844448668,6.5813249516351,1.0019394046831,-1753.92386091939
"93",3.32230049965593,0.468593635439848,0.208788412948132,0.390734612074791,0.485037662957038,0.625251866847005,0.281951498437864,6.58157424163296,1.00158849215001,-1744.48246755796
"94",3.33734006144431,0.468690392878641,0.208712716897093,0.389923730937175,0.484939868313464,0.625123719034958,0.281956920184592,6.57983472586151,1.00027162991611,-1734.34228418102
"95",3.33888001541357,0.468680208848902,0.208706102405942,0.389870006274406,0.484908649585768,0.625123191828064,0.281962480123288,6.57992636032581,1.00005784883234,-1733.31113926797
"96",3.34094194726285,0.468675679938322,0.208717204871433,0.389334169333325,0.484828146824198,0.62514009058191,0.281946229308921,6.58003255815203,1.00170479346808,-1731.80328629506
"97",3.34700356102174,0.468757862009964,0.208736218860651,0.389093893440378,0.484819410668571,0.62521653455249,0.281903878755874,6.58009797054601,1.0007262968091,-1727.72145771747
"98",3.34948124548267,0.46877740229574,0.208754032640776,0.388871234963349,0.484831626613209,0.625181849169233,0.281891324779331,6.58084395955521,1.0008815601763,-1726.02717361794
"99",3.35443142183258,0.468704205355138,0.208792188124643,0.388548961229684,0.484860529615031,0.62518702041618,0.281920336959618,6.58088817267832,1.0009172342355,-1722.63994260599
